"cluster","n_cells","singleR_main","singleR_fine","final_label","agreement","det_CD3D","det_CD3E","det_MS4A1","det_CD79B","det_JCHAIN","det_MZB1","det_CD14","det_CSF1R","det_FLT3","det_NKG7","det_KLRD1","det_CD34","det_PROM1","det_MPO"
0,10042,"CD4+ T cells","Th1 cells","T cells","concordant",0.65,0.909,0.072,0.077,0.088,0.087,0.023,0.039,0.001,0.057,0.003,0,0.001,0
1,9904,"CD4+ T cells","T regulatory cells","T cells","concordant",0.597,0.879,0.061,0.059,0.084,0.083,0.022,0.034,0,0.039,0.003,0,0,0
2,6834,"B cells","Switched memory B cells","B cells","concordant",0.044,0.129,0.536,0.71,0.127,0.104,0.022,0.028,0.001,0.018,0.004,0,0,0
3,6617,"B cells","Switched memory B cells","B cells","concordant",0.074,0.206,0.796,0.834,0.196,0.114,0.025,0.043,0,0.031,0.003,0.001,0.001,0
4,5198,"B cells","Switched memory B cells","B cells","concordant",0.049,0.146,0.57,0.647,0.098,0.077,0.02,0.028,0.001,0.025,0.002,0,0.001,0
5,5079,"Monocytes","Myeloid dendritic cells","Monocytes","DISCORDANT - adjudicated on markers",0.145,0.344,0.148,0.147,0.144,0.161,0.707,0.813,0.014,0.165,0.009,0,0,0
6,4536,"CD4+ T cells","Switched memory B cells","T cells","DISCORDANT - adjudicated on markers",0.66,0.929,0.064,0.062,0.085,0.077,0.016,0.034,0.001,0.072,0.004,0,0.002,0
7,4310,"Monocytes","Myeloid dendritic cells","Monocytes","DISCORDANT - adjudicated on markers",0.09,0.264,0.094,0.104,0.11,0.12,0.674,0.516,0.002,0.051,0.005,0,0.001,0
8,4085,"CD4+ T cells","T regulatory cells","T cells","concordant",0.426,0.765,0.058,0.065,0.071,0.068,0.016,0.03,0.001,0.031,0.003,0,0,0
9,3931,"Monocytes","Myeloid dendritic cells","Monocytes","DISCORDANT - adjudicated on markers",0.085,0.211,0.096,0.104,0.083,0.107,0.325,0.467,0.004,0.048,0.004,0,0,0
10,3337,"Monocytes","Myeloid dendritic cells","Monocytes","DISCORDANT - adjudicated on markers",0.108,0.306,0.113,0.148,0.109,0.151,0.496,0.828,0.007,0.148,0.007,0,0,0
11,2845,"CD8+ T cells","Effector memory CD8 T cells","T cells","concordant",0.642,0.891,0.1,0.099,0.093,0.088,0.023,0.036,0.002,0.665,0.128,0,0,0
12,2816,"T cells","Natural killer cells","NK cells","DISCORDANT - adjudicated on markers",0.145,0.265,0.093,0.089,0.069,0.076,0.018,0.033,0.001,0.794,0.36,0,0,0
13,2126,"B cells","Plasmablasts","Plasma cells","DISCORDANT - adjudicated on markers",0.249,0.484,0.265,0.564,0.968,0.98,0.117,0.156,0.005,0.099,0.014,0.001,0,0
14,1730,"B cells","Switched memory B cells","B cells","concordant",0.562,0.839,0.608,0.735,0.18,0.149,0.034,0.058,0.001,0.067,0.005,0.001,0,0.001
15,1550,"Monocytes","Intermediate monocytes","Monocytes","concordant",0.103,0.232,0.075,0.11,0.093,0.101,0.106,0.752,0.002,0.119,0.005,0.001,0,0
16,1272,"B cells","Switched memory B cells","B cells","concordant",0.094,0.242,0.763,0.763,0.398,0.197,0.041,0.054,0.003,0.043,0.007,0.002,0,0
17,1192,"CD8+ T cells","Effector memory CD8 T cells","T cells","concordant",0.685,0.837,0.287,0.287,0.285,0.213,0.073,0.117,0.003,0.353,0.06,0.001,0,0.001
18,1108,"Dendritic cells","Myeloid dendritic cells","Dendritic cells","concordant",0.129,0.347,0.164,0.166,0.14,0.152,0.088,0.338,0.222,0.094,0.011,0,0,0
19,885,"CD4+ T cells","T regulatory cells","T cells","concordant",0.573,0.84,0.06,0.078,0.064,0.088,0.018,0.033,0,0.033,0.002,0,0,0
20,865,"B cells","Switched memory B cells","B cells","concordant",0.049,0.146,0.577,0.69,0.132,0.123,0.018,0.034,0,0.025,0.003,0.001,0,0
21,815,"CD8+ T cells","Effector memory CD8 T cells","T cells","concordant",0.714,0.886,0.114,0.114,0.118,0.082,0.037,0.042,0.001,0.856,0.088,0,0,0
22,572,"CD8+ T cells","Effector memory CD8 T cells","T cells","concordant",0.647,0.925,0.089,0.105,0.161,0.089,0.016,0.04,0,0.276,0.08,0.002,0,0
23,254,"CD8+ T cells","Effector memory CD8 T cells","T cells","concordant",0.13,0.232,0.067,0.13,0.091,0.087,0.024,0.047,0.004,0.563,0.441,0,0,0
24,110,"Dendritic cells","Exhausted B cells","Unassigned","DISCORDANT - adjudicated on markers",0.118,0.282,0.173,0.118,0.373,0.445,0.064,0.118,0.127,0.136,0.018,0,0,0
